Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",47.000000,-19.000000,0.000000,bottom
"C2","22u","C_0805_2012Metric",63.000000,-28.500000,0.000000,bottom
"C3","100n","R_0402_1005Metric",47.000000,-22.000000,0.000000,bottom
"C4","100n","R_0402_1005Metric",47.000000,-11.380000,0.000000,bottom
"CL1","100n","R_0402_1005Metric",15.400000,-41.100000,90.000000,bottom
"CL2","100n","R_0402_1005Metric",34.450000,-41.100000,90.000000,bottom
"CL3","100n","R_0402_1005Metric",53.500000,-41.100000,90.000000,bottom
"CL4","100n","R_0402_1005Metric",72.550000,-41.100000,90.000000,bottom
"CL5","100n","R_0402_1005Metric",91.600000,-41.100000,90.000000,bottom
"CL6","100n","R_0402_1005Metric",15.400000,-60.150000,90.000000,bottom
"CL7","100n","R_0402_1005Metric",34.450000,-60.150000,90.000000,bottom
"CL8","100n","R_0402_1005Metric",53.500000,-60.150000,90.000000,bottom
"CL9","100n","R_0402_1005Metric",72.550000,-60.150000,90.000000,bottom
"CL10","100n","R_0402_1005Metric",91.600000,-60.150000,90.000000,bottom
"CL11","100n","R_0402_1005Metric",15.400000,-79.200000,90.000000,bottom
"CL12","100n","R_0402_1005Metric",34.450000,-79.200000,90.000000,bottom
"CL13","100n","R_0402_1005Metric",53.500000,-79.200000,90.000000,bottom
"CL14","100n","R_0402_1005Metric",72.550000,-79.200000,90.000000,bottom
"CL15","100n","R_0402_1005Metric",91.600000,-79.200000,90.000000,bottom
"CL16","100n","R_0402_1005Metric",15.400000,-98.250000,90.000000,bottom
"CL17","100n","R_0402_1005Metric",34.450000,-98.250000,90.000000,bottom
"CL18","100n","R_0402_1005Metric",53.500000,-98.250000,90.000000,bottom
"CL19","100n","R_0402_1005Metric",72.550000,-98.250000,90.000000,bottom
"CL20","100n","R_0402_1005Metric",91.600000,-98.250000,90.000000,bottom
"CL21","100n","R_0402_1005Metric",15.400000,-117.300000,90.000000,bottom
"CL22","100n","R_0402_1005Metric",34.450000,-117.300000,90.000000,bottom
"CL23","100n","R_0402_1005Metric",53.500000,-117.300000,90.000000,bottom
"CL24","100n","R_0402_1005Metric",72.550000,-117.300000,90.000000,bottom
"CL25","100n","R_0402_1005Metric",101.125000,-117.300000,90.000000,bottom
"C_VBAT","100n","R_0402_1005Metric",72.000000,-24.000000,90.000000,bottom
"D00","1N4148W","D_SOD-123",23.400000,-44.525000,0.000000,bottom
"D01","1N4148W","D_SOD-123",42.450000,-44.525000,0.000000,bottom
"D02","1N4148W","D_SOD-123",61.500000,-44.525000,0.000000,bottom
"D03","1N4148W","D_SOD-123",80.550000,-44.525000,0.000000,bottom
"D04","1N4148W","D_SOD-123",99.600000,-44.525000,0.000000,bottom
"D10","1N4148W","D_SOD-123",23.400000,-63.575000,0.000000,bottom
"D11","1N4148W","D_SOD-123",42.450000,-63.575000,0.000000,bottom
"D12","1N4148W","D_SOD-123",61.500000,-63.575000,0.000000,bottom
"D13","1N4148W","D_SOD-123",80.550000,-63.575000,0.000000,bottom
"D14","1N4148W","D_SOD-123",99.600000,-63.575000,0.000000,bottom
"D20","1N4148W","D_SOD-123",23.400000,-82.625000,0.000000,bottom
"D21","1N4148W","D_SOD-123",42.450000,-82.625000,0.000000,bottom
"D22","1N4148W","D_SOD-123",61.500000,-82.625000,0.000000,bottom
"D23","1N4148W","D_SOD-123",80.550000,-82.625000,0.000000,bottom
"D24","1N4148W","D_SOD-123",99.600000,-82.625000,0.000000,bottom
"D30","1N4148W","D_SOD-123",23.400000,-101.675000,0.000000,bottom
"D31","1N4148W","D_SOD-123",42.450000,-101.675000,0.000000,bottom
"D32","1N4148W","D_SOD-123",61.500000,-101.675000,0.000000,bottom
"D33","1N4148W","D_SOD-123",80.550000,-101.675000,0.000000,bottom
"D34","1N4148W","D_SOD-123",99.600000,-101.675000,0.000000,bottom
"D40","1N4148W","D_SOD-123",23.400000,-120.725000,0.000000,bottom
"D41","1N4148W","D_SOD-123",42.450000,-120.725000,0.000000,bottom
"D42","1N4148W","D_SOD-123",61.500000,-120.725000,0.000000,bottom
"D43","1N4148W","D_SOD-123",80.550000,-120.725000,0.000000,bottom
"D44","1N4148W","D_SOD-123",109.125000,-120.725000,0.000000,bottom
"LED1","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",19.400000,-42.025000,0.000000,bottom
"LED2","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",38.450000,-42.025000,0.000000,bottom
"LED3","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",57.500000,-42.025000,0.000000,bottom
"LED4","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",76.550000,-42.025000,0.000000,bottom
"LED5","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",95.600000,-42.025000,0.000000,bottom
"LED6","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",19.400000,-61.075000,0.000000,bottom
"LED7","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",38.450000,-61.075000,0.000000,bottom
"LED8","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",57.500000,-61.075000,0.000000,bottom
"LED9","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",76.550000,-61.075000,0.000000,bottom
"LED10","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",95.600000,-61.075000,0.000000,bottom
"LED11","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",19.400000,-80.125000,0.000000,bottom
"LED12","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",38.450000,-80.125000,0.000000,bottom
"LED13","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",57.500000,-80.125000,0.000000,bottom
"LED14","SK6812","LED_SK6812_MINI-E_plccn4_3.5x2.8mm",76.550000,-80.125000,0.000000,bottom
